zho,eng,zho_reverse
"希望双方进一步加强交流合作，深刻把握更好发挥“一国两制”制度优势的实践要求，讲好香港“一国两制”成功实践的故事，助力香港巩固提升独特地位和优势，续写新时代香江传奇
","It is hoped that the two sides will further strengthen their exchange and cooperation, deepen their understanding of the practical requirements for the benefits of the two-tier system, tell the stories of the success of Hong Kong's two-tier system, help Hong Kong consolidate its unique status and advantages, and continue the legend of the Shangri-La of the new era.","希望双方进一步加强交流和合作,深化对双层体系的实用要求的理解,讲述香港双层体系成功的故事,帮助香港巩固其独特地位和优势,并继续新时代的香格里拉传说."
"　　一年又一年，一次又一次，浩瀚南大洋上，这些潜标满载希冀出水又入海，持续不断地记录数据，构筑起我们对南极认知的高楼大厦
","Year after year, and again and again, in the South Pacific Ocean, these submarines are filled with water that is pouring out into the sea, continuously recording data, building the height of our knowledge of Antarctica.","年复一年,在南太平洋,这些潜艇被充满水, 流入海中, 不断记录数据,"
"　　在本次人文对话交流会上，新华社国家高端智库发布了《以文明交流互鉴推动人类文明发展进步》智库报告
","At the Human Dialogue Exchange, the National High-End Think tank of Xinhua Agency released the Human Dialogue and Civilization Exchange Report on the Progress of Human Civilization.","在""人际对话交流会""上,新华社国家高端智库发布了""人际对话与文明交流报告""关于人类文明进步."
"　　日中协会会长野田毅、日中友好议员联盟干事长近藤昭一、东京广播公司董事长佐佐木卓等日方嘉宾在致辞中表示，在当前国际形势下，日中双方应进一步加强对话和人文交流，两国媒体智库在促进相互理解和交流方面发挥着至关重要的作用，希望以此次对话交流会为契机，加深和拓展日中媒体智库间的合作，推动两国关系改善发展
","In a speech, Japanese guests such as the Chairman of the Japan-China Association, Shōjo Kido, Chairman of the Union of Friends of Parliamentarians of Japan, and Chairman of Tokyo Broadcasting Corporation, Sazo Jukujo, said that in the current international situation, the two sides should further strengthen dialogue and human exchange, and that the two media think tanks play a crucial role in promoting mutual understanding and exchange, and hope to use this dialogue as an opportunity to deepen and expand cooperation between the Japanese media think tanks to promote the development of bilateral relations.","在一场演讲中,日本-中国协会主席,日本议员朋友联盟主席,日本议员友会主席,日本广播公司主席萨佐·朱可乔等日本嘉宾表示,在当前的国际形势下,双方应进一步加强对话和交流,"
"  免去赵昌华的司法部副部长职务；免去朱咏雷的国家广播电视总局副局长职务；免去胡劲军的中央广播电视总台副台长职务；免去郝军辉的国家消防救援局政治委员职务
",The post of Deputy Minister of Justice in Guangzhou; the post of Deputy Director of the National Broadcasting Television Headquarters in Zhuzhou; the post of Deputy Director of the Central Broadcasting Television Headquarters in Huizhou; the post of Political Commissioner of the National Fire Rescue Office in Zhuzhou;,广州司法部副部长; 州州国家广播电视总部副主任; 胡州中央广播电视总部副主任; 州州国家消防救援局政治专员;
"  任命吴言军为司法部副部长；任命刘建国为国家广播电视总局副局长；任命张勇为国家疾病预防控制局副局长
",Appointment of Yuen-Jin as Deputy Minister of Justice; Appointment of Liu Jing-dong as Deputy Director of the National Broadcasting and Television Directorate; Appointment of Zhang Yong as Deputy Director of the National Agency for Disease Prevention and Control.,任命金为司法部副部长;任命金东为国家广播电视总局副局长;任命张永为国家疾病预防和控制局副局长.
"  国务院任免国家工作人员
",The State Council is exempting state staff.,美国政府将免除政府人员.
"  有记者问，据媒体报道，美国政府宣布建造“铁穹”防御系统，亦有媒体称其为“金穹”，以应对中国和俄罗斯高超音速武器对美军现有防御系统构成的特殊挑战
","According to media reports, the U.S. government announced the construction of the Iron Iron Iron Iron Iron Defense System, also known as the Iron Iron Iron Defense System, to address the special challenges posed by China and Russia's high-speed supersonic weapons to the existing defense systems of the U.S. military.","据媒体报道,美国政府宣布建造铁铁铁铁防御系统,也被称为铁铁铁防御系统,"
"有分析认为，美方此举可能引发一场破坏全球稳定的核军备竞赛
",Some analysts believe that the US move could trigger a nuclear arms race that could undermine global stability.,"一些分析师认为,美国的举动可能会引发核军备竞赛,"
"请问发言人有何评论？  美方应打破禁锢自己思想的“铁幕”  吴谦说，台湾问题纯属中国内政，不容任何外来干涉
",The US should break the iron curtain that has blocked its ideas. Liu Xiaobo said that Taiwan is a matter of China's internal affairs and does not allow any foreign interference.,"晓波表示,台湾是中国内部事务,不允许外国干预."
"我们坚决反对任何形式的美台军事联系，坚决反对美国向中国台湾地区出售武器
",We are firmly opposed to any form of military engagement with the United States and strongly opposed to the sale of arms by the United States to the Chinese region of Taiwan.,"我们坚决反对与美国的任何形式的军事接触,我们坚决反对美国向中国台湾地区出售武器."
"“倚美谋独”，此路不通
",The only way to get there is to be alone.,唯一的方法是独自一人.
"民进党当局拿本应造福民众的纳税钱投入到“害台毁台”的无底洞，最终必然难逃玩火自焚的下场
","The NDP authorities have taken the tax money that should have been paid for the benefit of the people and put it into the bottomless pit where the roof was destroyed, and it is inevitable that the end result will be self-immolation.","纳粹民主主义者当局把应该为人民的利益付出的税金放入了无底坑,"
"  受访民警提醒，广大群众在观看直播带货时，不要轻易被“卖惨”等噱头迷惑，遇到可疑的直播或者发现被骗，应及时向平台和公安机关举报，共同营造健康的网络直播环境
","The interviewees reminded the public that when watching live broadcasts, people should not be easily confused by the scams of the sale of goods, suspicious live broadcasts or being found deceived, and should report to the platforms and public safety authorities in a timely manner, to create a healthy live network environment.","面试者提醒公众,在观看直播时,人们不应容易被商品销售的骗局,可疑的直播或被欺骗所迷惑,并且应及时向平台和公共安全当局报告,以创造健康的直播网络环境."
"  “该团伙正是利用了消费者的‘扶贫心理’，从而实现‘情感绑架式’的销售
",The group is using the psychological slurry of consumer poverty to achieve the sale of emotional abduction slurry.,"为了实现销售情感绑架的,"
"”李毅说，这种情感绑架使得公众的善意沦为流量变现工具，导致“狼来了”效应，久而久之那些真正需要帮助的人会难以获得关注
","Li Li said that this emotional abduction has turned public goodwill into a tool of traffic transformation, causing the wolf to come to grips and in the long run those who really need help will find it difficult to get attention.","李丽说,这种情绪性绑架使公众善意成为交通转型工具,"
"  香港特别行政区政府政务司司长陈国基表示，新华社拥有遍布全球的新闻网络，一直通过客观、公正的报道，让世界了解国家和香港的真实面貌和最新发展
","Chen Zhengqi, head of the Hong Kong Special Administrative Region's government department, said Xinhua had a global news network that has been providing objective and fair reporting to the world about the real face and latest developments in the country and Hong Kong.","香港特别行政区政府部门负责人陈奇表示,新华社拥有全球新闻网络,"
"期待香港社会各界与新华社继续携手同行，更全面地向世界展示“一国两制”的辉煌成就和独有魅力
",I look forward to Hong Kong's society working with the Chinese company to show the world more fully the unique charm and achievements of the two-piece Chinese brand.,"我期待香港社会与中国公司合作, 能更充分地展示中国两件品牌独特的魅力和成就."
"  在香港举行的开通仪式上，新华通讯社社长傅华指出，新华社愿以客户端亚太频道上线为契机，持续创新传播方式，用心用情向世界宣介好习近平新时代中国特色社会主义思想的真理力量，展现好进一步全面深化改革、推进中国式现代化的万千气象，反映好香港全力拼经济、谋发展、惠民生、添幸福的丰硕成果，报道好中国与地区国家推动构建亚太命运共同体、努力开创亚太发展新时代的进展成效，让全世界都能听到并听清我们的声音
","At the opening ceremony in Hong Kong, Xinhua News Agency Director Liu Hua noted that Xinhua is willing to use its customer-oriented Asia-Pacific channel as an opportunity to continue to innovate and spread the message, to spread the truth of the Chinese socialist ideology of Xi Jinping's new era to the world, to further deepen the comprehensive reforms, to advance the millennium of Chinese modernity, to reflect Hong Kong's rich achievements in economic endeavour, development, prosperity and prosperity, to report on China and the countries of the region promoting the construction of the Asia-Pacific Fate Community, and to work to bring about the progress of the new era of Asian development, so that the world can hear and hear our voices.","在香港开幕式上,新华社新闻社总监华指出,新华社愿意利用其以客户为导向的亚太频道作为继续创新和传播信息的机会,向世界传播习近平新时代的中国社会主义意识形态的真相,进一步深化全面改革,推进中国现代千年,反映香港在经济努力,发展,繁荣和繁荣方面的丰富成就,报告中国和该地区促进亚太命运共同体建设的国家,并努力推动亚洲发展新时代的进步,让世界能听到我们的声音."
"  新华社发（赵军摄）  春日时节，人们来到户外踏青赏花，乐享美好春光
","The Chinese government has announced that the Chinese people will be celebrating the spring solstice in Beijing, China, and China.","中国政府宣布,中国人民将在北京,中国和中国庆祝春节."
"  中国地质科学院地质研究所离子探针中心名誉主任刘敦一说，关于月球起源，有一种假说称，月球是早期地球受到行星尺度撞击后分离的碎块凝聚形成，没有经历过板块运动、风化等改造，能记录自其形成以来的完整演化历史
","Dr. Dong, director emeritus of the Center for Ion Tonsil at the Institute of Geological Sciences of the Chinese Academy of Geosciences, said that about the moon's origin, there is a hypothesis that the moon was formed by the clumping of fragments of the early Earth that were separated by planetary impact, without having undergone any transformation such as plate movement, winds, and can record the complete evolutionary history since its formation.","东博士,中国地质科学院地质科学研究所的电电中心名誉主任说,月球起源的假设是月球是由早期地球的碎片聚集形成的,"
"相关研究可以为月球、地球甚至太阳系的早期演化的研究提供线索，为世界带来更多新知
","The research that has been done on this topic can provide clues to the early evolution of the moon, the earth, and even the solar system, and bring more new insights to the world.","关于这个主题的研究可以提供月球,地球甚至太阳系早期进化的线索,"
"  下一步，研究团队还将开展月球与太阳系早期撞击事件和月球深部物质等方面的研究
",The team will also be conducting research on the Moon and early solar system impacts and deep lunar matter.,团队还将对月球和早期太阳系的影响以及深层月球物质进行研究.
"  对月背玄武岩中铅同位素的研究还揭示，月球的正面和背面在岩浆洋结晶后的演化过程存在差异
",Studies of the isotope of the moon's backbone in basalt rock also reveal that there are differences in the evolutionary processes of the moon's front and back after the crystallization of the lava.,"根据月球脊柱的同位素在基石岩石中的研究,"
"而大型撞击会使月球铅同位素组成产生变化，研究团队由此判断，形成月背南极-艾特肯盆地的巨大撞击，可能改造了该区域月幔的物理化学性质，导致如今月球正面和背面呈现出显著的差异
","Large impacts would alter the composition of the Moon's isotope, and the team concluded that a massive impact on the Antarctic-Attic Basin behind the Moon could have altered the physical and chemical properties of the region's lunar mantle, causing significant differences in the front and back of the Moon.","大大的影响会改变月球同位素的组成,研究小组得出结论,在月球背后的南极-北极盆地上发生巨大影响可能会改变该地区的月球的物理和化学性质,导致月球前后面和后面的显著差异."
"  会议强调，金融资产投资公司要进一步练好内功，持续积累投资经验，加强人才队伍建设，积极发挥自身特色，丰富产品和服务，形成专业优势，推进更多项目落地，促进试点工作走深走实
","The conference emphasized that financial asset investment firms should further practice their ingenuity, continue to accumulate investment experience, strengthen their talent pool, actively leverage their characteristics, enrich their products and services, build professional advantage, advance more project landings and promote deepening of pilot work.","会议强调,金融资产投资公司应进一步发挥其创意,继续积累投资经验,加强人才群,积极利用其特征,丰富产品和服务,建立专业优势,推动更多项目登陆,促进试点工作的深化."
"  此次获批的国家级烈士纪念设施，涵盖辛亥革命、大革命、土地革命、抗日战争、解放战争、抗美援朝、社会主义建设等不同历史阶段，既有红军长征湘江战役纪念园、黑山阻击战烈士陵园（黑山阻击战纪念馆）等反映重大战役战斗的遗址，也有王尽美烈士纪念馆、叶挺纪念馆等纪念著名英烈人物的场所，进一步织密了全国红色教育网络
","The approval of the national level memorial facilities, covering different historical stages of the Xinhai Revolution, the Great Revolution, the Land Revolution, the anti-Japanese War, the Liberation War, the anti-American War, the construction of socialism, the Red Army's Changjiang Battle Memorial Park, the Black Mountain Resistance Martyrs' Memorial, and other sites that reflect major battles, as well as the King Zhao American Martyrs' Memorial and the Yan Yan Yan Memorial, further weaving the national red education network.","批准国家级纪念设施,涵盖新海革命,大革命,土地革命,反日战争,解放战争,反美国战争,社会主义建设,红军长江战术纪念园,黑山抵抗殉道者纪念馆等主要战斗的历史阶段,以及州国王美国殉道者纪念馆和延延延纪念馆,进一步织造国家红色教育网络."
"  本通高度评价老中两党总书记对两党两国关系的战略指引和亲自推动，表示当前老中关系正处于历史最好水平
","The BJP has highly appreciated the BJP Secretary-General's strategic guidance and personal push for the BJP-BJP relationship, saying that the current BJP relationship is at its best level in history.",印度人民共和国政府对印度人民共和国的战略性发展表示高度赞赏.
"老挝人革党正筹备十二大，将继续把推动两国命运共同体建设作为工作重要方向和任务
","The Lao People's Party is preparing its 12th Congress, which will continue to promote the development of the Fate Community of the two countries as an important direction and task.","拉索人民党正在筹备其第十二届大会,"
"  今年全国两会，张兴赢将围绕冰川消融生态环境风险、金融气象与风险防范、减污降碳协同监测、环评机构监管优化等方面提交提案，这些提案不仅涵盖了多年及最新的研究成果，更体现了他在基层实践中的深入思考
","At two national conferences this year, Zhang Jingwin will present proposals on the environmental risks of glacial melting, financial climate and risk prevention, carbon reduction coordination monitoring, and review agency regulation optimization, which not only cover years of research and the latest results, but also reflect his deep thinking in grassroots practices.","今年在两次全国会议上,张文将提出关于冰川融化,金融气候和风险预防,碳减排协调监测和审查机构监管优化的环境风险的建议,"
"  “一到‘回南天’，总有个别误食变质食物导致胃肠道不适的患者前来就医
","From the south to the south, there are always individual malnutrition of food that causes gastrointestinal discomfort.","从南到南,食物的营养不良总是导致胃肠道不适."
"”广西壮族自治区妇幼保健院儿童感染消化内科副主任何筱胤建议，春季应加强饮食、饮水卫生，食物充分加热，避免食用不新鲜或变质的食物，尽量少吃或不吃剩饭剩菜
","The Vice President of the Department of Infectious Diseases and Infectious Diseases of the Ministry of Health of the Guangxi-Shuang Autonomous Region recommended that in the spring, the diet, drinking water hygiene, food should be improved, adequate heating, avoid eating unfresh or deformed foods, and eat as little or no leftover meals as possible.","广西-州自治区卫生部传染病和传染病部副主席建议,春季,改善饮食,饮用水卫生,食品,适当的加热,避免吃鲜或变形食品,尽可能少或不吃剩余的食物."
"若出现呕吐、腹泻等不适症状，应及时就医治疗
","If you have symptoms of vomiting, diarrhea, etc., you should seek medical treatment in a timely manner.","如果您出现吐,腹等症状,请及时寻求医疗."
"医美行业的健康发展离不开规范的市场秩序和严格的监管，对于羟基磷灰石产品，消费者和医美机构都应保持谨慎态度，遵循相关法规和标准，确保医美行为的安全有效
","Health development in the healthcare industry is not separated from the regulatory market order and strict regulation, and consumers and healthcare institutions should exercise caution in respect of their products, and follow relevant regulations and standards to ensure that healthcare practices are safe and effective.","医疗保健行业的健康发展与监管市场秩序和严格监管没有分开,消费者和医疗保健机构应对其产品采取谨慎态度,并遵守相关的规定和标准,以确保医疗保健实践安全和有效."
"（记者 李燕京）
",(Reporter Li Jing),报道者李
"  “下一步，中心将围绕灵活就业人员缴存范围、缴存方式、取用政策、配套措施等重点内容出台专门方案，将灵活就业人员切实纳入住房公积金制度保障范围
","The Centre will launch a special programme focusing on the scope, method of depositing, use of policies, support measures and other topics to integrate flexible workers into the housing reserve system.","该中心将启动一个特别项目,重点关注了适用于房屋储备系统的范围,存款方式,政策的使用,支持措施和其他主题."
"”兰州住房公积金管理中心相关负责人说
",The head of the Housing and Banking Administration Center in Portland said:,波特兰住房和银行管理中心负责人说:
"（记者 李建广 施 钰 赵帅杰 吴 君）
","(Reporter Li Jiangsheng, Zhang Jiang, and Zhang Jiang)","报道者李江sheng,张江,张江)"
"  以水为笔，美丽中国新画卷正徐徐铺展
",The beautiful new Chinese painting is being laid out in water with a pen.,华人画的美丽新画正在用笔入水中.
"“新的一年，要坚持生态优先、绿色发展，让越来越多的河流恢复生命、流域重现生机
","In the new year, we are committed to ecological priority, green development, and the restoration of life in more rivers and rivers.","在新的一年,我们致力于生态优先,绿色发展,"
"”水利部水资源管理司相关负责人说
","The Ministry of Water Resources, Water Management, said the relevant officials.","相关官员表示,"
"  ——“回南天”来袭，应提防消化系统疾病
",The South Korean government has been trying to prevent the spread of diseases in the digestive system.,韩国政府一直在努力防止消化系统疾病传播.
"墙上冒水珠、到处湿漉漉……近日，南方多地在回暖过程中出现了“回南天”
","The walls are covered with water, the whole area is wet... Recently, the southern part of the country has been warming up with a wave of rainbow turning to the south.","墙壁覆盖着水,整个地区都湿,近期,南方地区一直在变暖,"
"在湿度大、温暖的环境下，细菌和真菌可迅速繁殖，食物易变质腐烂
","In humid and warm environments, bacteria and fungi can reproduce rapidly and food is prone to decomposition.","在湿气和温暖环境下,细菌和真菌可以快速繁殖,食物容易腐烂."
"  “预防精神疾病，缓解心理不适，可以通过坚持规律作息、适度运动来实现
",The aim of the project is to prevent mental illness and reduce mental disorders by maintaining a healthy lifestyle and moderate exercise.,该项目旨在通过保持健康的生活方式和适度运动来预防精神疾病和减少精神疾病.
"”占归来提醒，如果相关症状持续或加重，应尽早寻求专业帮助
","The report also warns that if the symptoms persist or worsen, seek professional help as soon as possible.","报告还警告说,如果症状持续或恶化,请尽快寻求专业帮助."
"  对此，上海市徐汇区精神卫生中心主任占归来解释称，冬去春来时，气温、日照的变化对人体的生物钟和激素水平产生影响，光照时间变长可能刺激大脑分泌更多血清素，也可能引起褪黑素分泌减少，进而影响情绪调节，“有些人更为敏感，在这样的变化刺激下易有焦虑、抑郁等情绪波动
","In response, the director of the Xu Wei District Mental Health Center in Shanghai explained that in winter and spring, changes in temperature and sunlight affect the body's biological clock and hormone levels, and the increase in light time may stimulate the brain to secrete more serotonin, or may cause a decrease in the secretion of serotonin, which affects mood regulation, and some people are more sensitive, and these changes can trigger mood swings such as anxiety and depression.","作为回应,上海徐伟区心理健康中心的主任解释说,冬季和春季,温度和阳光的变化影响身体的生物钟和激素水平,"
"”  ——“春困”“伤春”，勿轻视精神心理健康
",The first is that the people of the country are not allowed to take the risk of being bullied.,"首先,该国人民不被允许冒着欺凌的风险."
"春天里易犯困、提不起精神、容易伤怀、陷入忧思……“春困”“伤春”，都是形容在春季时发生的心理、精神方面的不适
","The first few days of spring are easy to get caught up in, not remembering, easily hurt, easily trapped in worry... Springtime is a time of mental and mental discomfort.","春天的第一几天很容易被困,不记得,容易受伤,容易陷入焦虑...春天是精神和精神不适的时刻."
"  无论智驾处于“凑合能用”还是“好用”的阶段，安全始终是不可逾越的底线
","Whether you're in the phase of combining aluminum or aluminum, safety is always the bottom line.","无论你是在或组合阶段,安全是总是最重要的."
"专家提醒，当前的智能驾驶距离完全自动化驾驶还有很长的路要走，即使开启了智驾功能，驾驶员的双手也应时刻放在方向盘上，密切关注路况，以便随时接管车辆，切忌掉以轻心，更不能做出诸如在驾驶过程中睡觉、玩手机等危险行为
","Experts warn that there is still a long way to go from fully automated driving to the current smart driving distance, and even with the smart driving function enabled, drivers should keep their hands on the steering wheel at all times, keeping a close eye on the road conditions, so that they can take over the vehicle at any time, avoid distractions and avoid dangerous activities such as sleeping while driving, playing with their mobile phones.","专家警告说,从完全自动驾驶到目前智能驾驶距离还有很长的路要走,即使智能驾驶功能已启用,"
"  中汽测评技术管理部副部长张鲁提醒消费者，学习和了解智能驾驶系统的功能范围及紧急情况应对方法是安全使用智能驾驶系统的“法宝”，特别是要留意在一些复杂路况或是恶劣天气情况下可能存在表现不佳的情况
","Zhang Lu, Vice Minister of the Ministry of Technical Management, Assessment and Technology, reminds consumers that learning and understanding the scope of the functions and emergency response of the intelligent driving system is a good way to safely use the intelligent driving system, especially in situations where there may be poor performance in some complex road conditions or in bad weather.","技术管理,评估和技术部副部长张卢提醒消费者,学习和了解智能驾驶系统的功能范围以及应对紧急情况是安全使用智能驾驶系统的好方法,特别是在某些复杂的道路条件或恶劣天气下可能出现性能差的情况."
"此外，用户还需及时更新软件以获取最新功能和安全补丁
","In addition, users will need to update the software in a timely manner to get the latest features and security patches.","此外,用户需要及时更新软件,以获得最新功能和安全补丁."
"  这位负责人表示，今年全国两会即将召开，国家林草局将进一步优化办理工作流程，创新工作方法，组织开展综合调研和代表委员座谈，充分吸收采纳意见建议，以更加务实的政策举措，为建设人与自然和谐共生的现代化贡献力量
","The Head of the National Forest Service said that two national conferences will be held this year, and the National Forest Service will further optimize its work processes, innovate its working methods, organize comprehensive research and consultation with representative committees, fully absorb input and recommendations to make more pragmatic policy initiatives to contribute to the modern power of building people and living in harmony with nature.","森林总监说,今年将举行两次全国会议,国家森林总监将进一步优化工作流程,创新工作方法,与代表委员会进行全面的研究和协商,充分吸收意见和建议,以更实用化政策举措,为建设人民和自然和生活的现代力量作出贡献."
"  普洱市文化和旅游局副局长张栖荧说，普洱不仅有普洱茶，还有香气浓郁、略带果酸味的咖啡，“咖旅融合”已成为普洱旅游的一张新名片
","Zhang Zhang, deputy director of the Pyongyang City Department of Culture and Tourism, said that not only is Pyongyang tea available, but also the aroma of the coffee, which is slightly sour, and the combination of the coffee and the coffee has become a new name for Pyongyang tourism.","阳市文化和旅游部副主任张张表示,不仅有平壤茶,还有咖啡的香气,"
"　　（五）坚守政治巡视定位，着力推动巡视更加精准发现问题、有效解决问题　　系统性整治民生领域突出问题
","5. Adhere to the political position of the tour, focusing on promoting the tour to more accurately identify problems, solve problems effectively, systematically correct issues highlighted in the field of public life.","5. 坚持巡回演出的政治立场,重点促进巡回演出,以更准确地确定问题,有效地解决问题,系统地纠正公众生活领域突出的问题."
"紧盯集中整治发现的顽瘴痼疾，持续深化“校园餐”、农村集体“三资”管理、乡村振兴资金使用监管、医保基金管理、养老服务等方面突出问题治理，扎实推进整治殡葬领域腐败乱象专项行动，常态化机制化推进扫黑除恶“打伞破网”
","The focus is on curing the disease discovered, continuing to deepen the curriculum, rural collective fundraising, rural rejuvenation, governance, and other issues in terms of regulation, healthcare fund management, retirement services, and strengthening the promotion of special actions to curate corruption in the field of funeral home burial, and normalization mechanisation, cleaning and eradication of the disease.","专注于治疗发现的疾病,继续深化课程,农村集体筹款,农村复兴,治理等监管,医疗基金管理,退休服务等问题,加强促进葬礼室埋葬领域的腐败特别行动,正常化机械化,清洁和消除疾病."
"深化运用群众点题机制，指导各地选择民生痛点难点因地制宜开展整治，让群众可感可及
","Deepen the use of crowd point questionnaire mechanisms, guide the selection of people's pain points in places and make them accessible to the public.","进一步使用群众点问卷机制,指导人们在地方的疼痛点选择,并使其可供公众使用."
"　　持续发力惩治“蝇贪蚁腐”
",The government has also been working to crack down on corruption.,政府也一直在努力打击腐败.
"紧盯党中央关于乡村全面振兴、惠民富民、防止规模性返贫致贫等方面政策措施落实情况，对反映群众身边腐败问题线索加强督办，对贪污侵占、截留挪用、虚报冒领、吃拿卡要等行为严惩不贷，坚决斩断伸向群众利益的“黑手”
","The Central Party has been tightly aligned with the implementation of policies on rural regeneration, poor people, poverty reduction, and other issues, strengthening its surveillance of the evidence of corruption among the masses, strictly punishing corrupt practices such as encroachment, foreclosure, fraud, and eating potatoes, and firmly holding the monopoly on the black hand that extends to the interests of the masses.","中央党紧密地与农村再生,贫困人口,减贫等问题实施政策保持一致,加强对大众腐败证据的监视,严格惩罚侵权,强迫,欺诈和吃子等腐败行为,并坚定地控制黑人权力,"
"　　进一步完善制度机制
",The government has also been working on improving the mechanisms.,政府也在改善机制方面工作.
"总结运用集中整治经验做法，将齐抓共管的领导机制、纪委监委领导包联的工作机制、突出问题项目化整治的推进机制、部门协作配合的联动机制等经验做法固化为制度
","The report also summarizes the use of centralized experience consolidation practices, consolidating leadership mechanisms that are coordinated, the work of the regulatory commission to lead the partnership, the promotion mechanisms for project consolidation that highlight issues, and the mechanisms for linking collaboration between departments.","报告还总结了集中化经验整合实践的使用,协调的领导机制的整合,监管委员会领导合作的工作,突出问题的项目整合推广机制以及部门之间的合作联系机制."
"优化具体工作方法，加大下沉指导、明察暗访、公开接访、带案下访等工作力度，及时发现、推动解决群众反映强烈的突出问题
","Optimize specific work methods, increase the intensity of the work, such as immersive guidance, insightful interviews, public interviews, follow-up visits, timely detection and promotion of solutions to high-profile issues that reflect the mass.","优化具体的工作方法,提高工作的强度,例如沉浸式指导,有洞察力的面试,公众面试,后续访问,及时发现和推广反映群众的重要问题解决方案."
"对群众反映多、整治成效不明显的工作薄弱县，加强督促指导，强化支持保障，补齐短板弱项
","The weak counties are reflecting the many, improving the results that are not obvious, strengthening the incentive guidance, strengthening the support of guarantees, and filling the shortcut.","弱势县反映了许多,改善了不明显的结果,加强了激励指导,加强了保障支持,并填补了捷径."
"　　群众身边不正之风和腐败问题整治不可能一蹴而就，必须始终高度重视、用心用情用力，聚焦县以下这一关键环节、薄弱环节，再狠抓两年，确保取得更大成效
","The problem of corruption and corruption around the masses cannot be solved at once, and it must always be given high importance, with the use of compassion, focusing on the key link below, the weak link below, and then taking two years to ensure greater results.","必须要非常重视,以同情,重点关注下面的关键链,下面的弱点,"
"  新华社发（丁焕新摄）  “二月二，龙抬头”来临之际，各地举办丰富多彩的活动，喜迎传统节日
","The Chinese government has announced that the Chinese government will be holding a multi-colored event to celebrate the traditional festival on February 2, as the Dragon rises to its peak.","随着龙升至顶峰,中国政府将于2月2日举行多彩活动,"
"  多位受访专家表示，动力电池回收利用面临的问题需要多方面共同努力，应通过政策引导、技术创新、构建完善的回收体系、强化企业责任与宣传教育等措施的实施，逐步推动我国动力电池回收行业健康发展
","Several experts interviewed said that the problem of recycling of power cells requires a multi-faceted effort, and that measures such as policy guidance, technological innovation, the construction of a perfect recycling system, strengthening corporate responsibility and public education should be implemented to promote the healthy development of the power cell recycling industry in China.","采访的几位专家表示,电池回收问题需要多方面的努力,并建议实施政策指导,技术创新,完美的回收系统建设,加强企业责任和公共教育等措施,以促进中国电池回收行业的健康发展."
"（记者 杨秀峰 王跃跃）  刘丽丽建议，应加快制定相关标准体系，完善现有管理制度；提高技术和管理水平，提升我国在国际动力电池回收利用产业中的地位；加快建立科学有效的回收利用体系，从源头确保动力电池得以规范回收
","(Journalist, Liu Xiaofeng Wang Yi) Zhejiang suggested that the development of relevant standards systems should be accelerated, the existing management system improved; the improvement of technical and management levels, the upliftment of China's position in the international recycling industry; the establishment of a scientifically effective recycling system to ensure that recycling can be regulated from the source.","江建议加快相关标准体系的发展,改善现有的管理体系,提高技术和管理水平,提升中国在国际回收行业的地位,建立一个科学有效的回收系统,以确保回收可以从源头上进行监管."
"  随着家用电器逐渐智能化、屋顶光储电站普及和电动汽车占比提升，构建更大规模、更加智能高效的居民虚拟电厂成为可能
","As household appliances are increasingly intelligent, rooftop light storage plants are becoming more popular, and electric cars are increasingly becoming more common, virtual power plants are becoming possible to build larger, more intelligent, and more efficient residential plants.","由于家电越来越智能,屋顶灯光储存厂越来越受欢迎,电动汽车越来越常见,"
"为鼓励更多居民参与虚拟电厂运营，需要设置更加常态化的激励机制，通过多元化激励模式，引导居民家中智能用电设备主动参与虚拟电厂互动
","To encourage more residents to participate in the operation of virtual power plants, more conventional incentive mechanisms are needed to guide residents to actively participate in virtual power plant interaction with smart electrical devices in their homes through a diversified incentive model.","为了鼓励更多居民参与虚拟电站运营,需要更多的传统激励机制,以通过多元化的激励模式引导居民积极参与虚拟电站与家中智能电器互动."
"优化系统交互，统一数据标准，方便居民实时查看贡献与收益，形成透明、高效的互动模式，让低碳生活“看得见摸得着”
","Optimized system interaction, unified data standards, facilitating real-time viewing of contributions and benefits, creating transparent, efficient interaction models that make low-carbon living more visible and tangible.","优化系统互动,统一数据标准,促进实时查看贡献和收益,创造透明,高效的互动模式,使低碳生活更加可见和可形."
"  水谷亨表示，共同社与新华社具有友好交往传统，希望未来进一步巩固合作基础，持续加强交流，拓展合作领域，推动双方合作取得更丰硕成果
","Henk said that the joint venture has a tradition of friendly relations with Xinhua and hopes to further consolidate the basis of cooperation in the future, continue to strengthen exchanges and expand the area of cooperation, and promote more fruitful cooperation between the two sides.","亨克表示,该合资企业与新华社保持友好关系,并希望在未来进一步巩固合作基础,继续加强交流和扩大合作领域,促进双方更具成果的合作."
"　　中国人民解放军和中国人民武装警察部队的党员教育培训工作，由中央军委根据本规划精神制定实施意见
",The education and training of members of the People's Liberation Army of China and the People's Armed Police Force of China shall be carried out by the Central Military Commission in accordance with the spirit of this Plan.,"根据本计划的精神,中央军事委员会应对中国人民解放军和中国人民武装警察部队成员的教育和培训."
