,zh
728,　　全面从严治党要巩固历史性成就、取得更大成效，必须坚持以“两个责任”抓纲带目，在党中央集中统一领导下，健全各负其责、统一协调的管党治党责任格局，不断巩固发展全党动手一起抓的良好局面
729,　　（七）强化全面从严治党政治责任，着力推动严的基调一贯到底　　推动完善党和国家监督体系
730,以党内监督为主导，推动党委（党组）履行全面监督职责，加强对各类监督主体的领导和统筹，确保党的领导和监督一贯到底
731,以专责监督为主干，制定纪检监察机关（机构）在监督检查审查调查工作中协作配合规定，优化“组组”协同监督、“室组”联动监督、“室组地”联合办案、“室组地校企巡”协调联动机制，明确具体职责，规范工作程序，优化审批流程，促进“四项监督”统筹衔接常态化制度化
732,以基层监督为支撑，持续优化基层纪检监察机构设置和力量配备，健全空编人员动态补充机制，提升基层纪检监察监督质效
733,以各类监督贯通协调为保障，深化拓展纪检监察监督与审计监督、财会监督、统计监督等协作配合机制
734,
735,  免去赵昌华的司法部副部长职务；免去朱咏雷的国家广播电视总局副局长职务；免去胡劲军的中央广播电视总台副台长职务；免去郝军辉的国家消防救援局政治委员职务
736,
737,  水谷亨表示，共同社与新华社具有友好交往传统，希望未来进一步巩固合作基础，持续加强交流，拓展合作领域，推动双方合作取得更丰硕成果
738,
739,  为此，有关部门将开展规划实施监督，强化对严守空间安全底线等的监督检查，坚决维护规划的权威性和严肃性；健全国土空间规划实施监测评估预警机制和优化调整机制，加强规划定期体检和五年评估，根据体检评估结果，结合国民经济和社会发展规划，适时对规划进行优化调整，积极适应经济社会发展的新需求
740,  自然资源部有关负责人强调，要强化规划权威
741,规划一经批复，任何部门和个人不得随意修改、违规变更，防止出现换一届党委和政府改一次规划
742,下级国土空间规划要服从上级国土空间规划，相关专项规划、详细规划要服从总体规划；坚持先规划、后实施，不得违反国土空间规划进行各类开发建设活动；坚持“多规合一”，不在国土空间规划体系之外另设其他空间规划
743,
744,　　中国人民解放军和中国人民武装警察部队的党员教育培训工作，由中央军委根据本规划精神制定实施意见
745,
746,  保持战略定力，勇于担当作为，一以贯之抓好党中央推动西部大开发政策举措的贯彻落实，西部地区正奋力谱写高质量发展新篇章
747,
748,　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
749,让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
750,　　加强廉洁建设
751,纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
752,以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
753,以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
754,以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
755,　　加强作风建设
756,作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
757,发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
758,发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
759,弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
760,
761,  吴谦说，美方需要的不是什么“铁穹”，而是要打破禁锢自己思想的“铁幕”
762,中方要求美方摒弃冷战思维，停止渲染他国威胁，停止制造军事对抗
763,  有记者问，据媒体报道，美国政府宣布建造“铁穹”防御系统，亦有媒体称其为“金穹”，以应对中国和俄罗斯高超音速武器对美军现有防御系统构成的特殊挑战
764,有分析认为，美方此举可能引发一场破坏全球稳定的核军备竞赛
765,请问发言人有何评论？
766,  无论智驾处于“凑合能用”还是“好用”的阶段，安全始终是不可逾越的底线
767,专家提醒，当前的智能驾驶距离完全自动化驾驶还有很长的路要走，即使开启了智驾功能，驾驶员的双手也应时刻放在方向盘上，密切关注路况，以便随时接管车辆，切忌掉以轻心，更不能做出诸如在驾驶过程中睡觉、玩手机等危险行为
768,  中汽测评技术管理部副部长张鲁提醒消费者，学习和了解智能驾驶系统的功能范围及紧急情况应对方法是安全使用智能驾驶系统的“法宝”，特别是要留意在一些复杂路况或是恶劣天气情况下可能存在表现不佳的情况
769,此外，用户还需及时更新软件以获取最新功能和安全补丁
770,  针对目前车辆的智驾功能，业内专家表示，目前国内智驾类别较多，功能区别较大，有的只适合高快（高速、快速路）领航，有的可实现城区领航及复杂路况，有的则可实现车位到车位及代客泊车、记忆领航等高阶功能，消费者选购智驾车型时须仔细辨别
771,
772,  中央驻港机构、香港特区政府、驻港中资机构及香港各界代表参加了当天的开通仪式
773,
774,  在中国酒业协会看来，在行业调整期，酒企须高度重视产品结构的优化
775,首先，酒企需要根据市场需求调整产品线，增加高性价比产品的比重；其次，酒企须随时关注消费升级趋势，推出更多符合中高端消费者需求的产品；最后，酒企还应通过技术创新，提升产品的品质和特色
776,  招商证券研报认为，白酒龙头主动控货，打破行业挤压惯性，弱需求下目标制定成为竞争胜负手，呼吁酒企降低增长目标注重实际销售
777,
778,  受访民警提醒，广大群众在观看直播带货时，不要轻易被“卖惨”等噱头迷惑，遇到可疑的直播或者发现被骗，应及时向平台和公安机关举报，共同营造健康的网络直播环境
779,  “该团伙正是利用了消费者的‘扶贫心理’，从而实现‘情感绑架式’的销售
780,”李毅说，这种情感绑架使得公众的善意沦为流量变现工具，导致“狼来了”效应，久而久之那些真正需要帮助的人会难以获得关注
781,  相关短视频平台应提升技术手段，建立大数据模型进行风险预警，加强对“贫困”“助农”等关键词和内容的审核力度，对高频发布悲情剧情的账号进行重点排查，健全用户举报机制，与公安机关加强协作
782,同时，还应完善法律惩戒，引导公众提升辨识力，对相关内容保持警惕
783,
784,　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
785,让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
786,　　加强廉洁建设
787,纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
788,以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
789,以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
790,以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
791,　　加强作风建设
792,作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
793,发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
794,发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
795,弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
796,　　加强能力建设
797,纪检监察机关是党内监督和国家监察专责机关，在管党治党中承担着重要职责，必须敬畏责任、敬畏使命，高质量完成好党和人民交给的任务
798,着眼提高干部专业素养，开展涵盖业务全链条的纪法培训，加强履职通识培训，分层级分领域精准施训，扎实推进纪检监察学科建设，不断提升发现处置问题、开展思想政治工作、推进以案促改促治、研判处置涉纪涉腐舆情等能力
799,着眼提高监督执纪执法质量，教育引导干部牢固树立和践行正确政绩观，坚持实事求是，严格依规依纪依法，正确把握政策策略，准确定性量纪执法，毋枉毋纵，安全文明办案，实现政治效果、纪法效果、社会效果有机统一
800,实施加强组织建设三年行动计划，着眼优化干部选育管用机制，完善干部准入机制，加强监督执纪执法专业人才储备，完善拓展培养机制，优化干部梯队建设，稳妥有序推进干部轮岗交流，有计划安排干部到正风肃纪反腐一线磨砺，完善考核评价机制，激励干部担当作为
801,　　加强政治建设
802,纪检监察队伍因党而生、为党而战，忠诚于党是纪检监察铁军最根本的政治品格，必须敬畏信仰、敬畏组织，做一尘不染的忠诚卫士
803,要始终不渝用习近平新时代中国特色社会主义思想武装头脑，筑牢思想根基、学习科学方法、汲取真理力量，及时转化为敢为的行动、善为的能力、有为的效果；深刻领悟“两个确立”的决定性意义，坚决做到“两个维护”，及时甄别、坚决清除政治上的两面人，确保整支队伍对党绝对忠诚、政治上绝对可靠，任何时候任何情况下都同以习近平同志为核心的党中央保持高度一致；始终不渝心怀“国之大者”，自觉把工作置于党和国家大局中谋划推进，为实现新时代新征程党的使命任务作出更大贡献
804,　　面对党中央和习近平总书记交给的光荣使命、党和人民赋予的神圣权力，纪检监察机关必须始终保持敬畏之心，切实加强纪检监察工作规范化法治化正规化建设，以更高标准、更严要求，打造忠诚干净担当、敢于善于斗争的纪检监察铁军
805,　　（八）开展“纪检监察工作规范化法治化正规化建设年”行动，着力推动纪检监察铁军建设再上新台阶　　切实推动健全全面从严治党体系
806,督促各级党组织用系统思维、科学方法推进管党治党内容全涵盖、对象全覆盖、责任全链条、制度全贯通，进一步健全上下贯通、执行有力的组织体系，固本培元、凝心铸魂的教育体系，精准发力、标本兼治的监管体系，科学完备、有效管用的制度体系，主体明确、要求清晰的责任体系
807,　　切实履行纪委（纪检组）监督责任
808,做实专责监督，把更多时间和精力用到监督上，确保监督不缺位
809,聚焦主责主业，确保监督不泛化虚化
810,突出“监督的再监督”，督促各责任主体把责任扛起来，确保监督不越位
811,　　切实督促职能部门履行监管责任
812,坚持管行业管业务必须强监管，坚决纠治监管缺失缺位、管党治党乏力问题，防止以纪委监督代替部门监管
813,对监管责任落实不力的职能部门及相关责任人，依规依纪依法追究责任
814,　　切实督促党委（党组）履行主体责任
815,督促党委（党组）认真执行全面从严治党主体责任规定、加强对“一把手”和领导班子监督的意见，加强对本地区本单位本系统全面从严治党工作的领导，坚决纠正只抓业务不抓风纪、只管发展不治腐败等问题
816,督促“一把手”扛起第一责任人责任、领导班子其他成员履行“一岗双责”，直面问题、敢抓敢管，坚决防止事前当“老好人”、事后当“诸葛亮”
817,　　全面从严治党要巩固历史性成就、取得更大成效，必须坚持以“两个责任”抓纲带目，在党中央集中统一领导下，健全各负其责、统一协调的管党治党责任格局，不断巩固发展全党动手一起抓的良好局面
818,　　（七）强化全面从严治党政治责任，着力推动严的基调一贯到底　　推动完善党和国家监督体系
819,以党内监督为主导，推动党委（党组）履行全面监督职责，加强对各类监督主体的领导和统筹，确保党的领导和监督一贯到底
820,以专责监督为主干，制定纪检监察机关（机构）在监督检查审查调查工作中协作配合规定，优化“组组”协同监督、“室组”联动监督、“室组地”联合办案、“室组地校企巡”协调联动机制，明确具体职责，规范工作程序，优化审批流程，促进“四项监督”统筹衔接常态化制度化
821,以基层监督为支撑，持续优化基层纪检监察机构设置和力量配备，健全空编人员动态补充机制，提升基层纪检监察监督质效
822,以各类监督贯通协调为保障，深化拓展纪检监察监督与审计监督、财会监督、统计监督等协作配合机制
823,　　推进纪检监察机构改革
824,深化纪委监委机关内设机构改革，完善职能配置、机构设置、力量配备，优化监督检查和审查调查机构职能，提高监督执纪执法综合效能
825,深化派驻机构改革，完成向中管企业全面派驻纪检监察组
826,深化派驻监督向下延伸，制定监察“再派出”的指导意见，稳慎有序推动有关派驻机构向驻在单位的下一级单位、部属高校和国务院国资委管理领导班子的中央企业“再派出”，强化对“再派出”监察人员的管理监督
827,完善中央和国家机关部门机关纪委监督执纪工作机制
828,因地制宜深化县级派驻机构集中办公、片区协作等工作机制
829,规范省以下派驻机构考核工作，用好考核结果，发挥激励作用
830,　　加强纪检监察法规制度建设
831,推动完善党内法规制度体系，协助党中央制定规范诫勉工作的法规、制定党委（党组）对下级“一把手”开展监督谈话工作办法、修订《国有企业领导人员廉洁从业若干规定》
832,健全反腐败法律法规体系，配套修改监察法实施条例，起草反跨境腐败法，修订《关于加强和完善监察执法与刑事司法衔接机制的意见（试行）》
833,推进监督执纪执法规范化建设，修订《纪检监察机关处理主动投案问题的规定（试行）》，制定监察公开工作条例、审查调查安全工作规定，以及中央纪委国家监委派驻纪检监察组和中管企业、中管高校纪检监察机构监督检查审查调查措施使用管理办法
834,　　纪检监察体制改革是进一步全面深化改革的重要组成部分，必须深入落实党的二十届三中全会关于纪检监察体制改革战略部署，以制度建设为主线，以深化机构改革为重点，以增强系统性协同性有效性为着力点，通过重点改革突破带动全局工作提升
835,　　（六）深化落实纪检监察体制改革任务，着力推动完善党的自我革命制度规范体系　　完善巡视工作制度机制
836,修订《中央巡视组信访工作办法》，完善巡视移交、巡视报告问题底稿审核等制度，探索建立巡视报告审核机制
837,在数字纪检监察体系框架下，研究建设巡视巡察数据库和中央巡视数据分析平台，提高运用数据化手段发现问题能力
838,健全巡视组组长、副组长选配机制
839,　　推动巡视发现问题真改实改
840,进一步压实整改主体责任，加强对巡视整改情况监督，有重点地选择部分单位开展现场督导检查，对中管企业整改情况开展“回头看”
841,进一步完善整改督促机制，研究探索巡视建议书制度，对巡视发现的普遍性、倾向性问题和体制机制等方面问题，向有关职能部门提出意见建议并督促落实
842,进一步增强整改针对性、实效性，强化边巡边查、立行立改，推动健全整改问责、评估机制，纠治整改不力、虚假整改等问题
843,　　提升巡视发现问题的震慑力
844,做实政治巡视，紧盯权力和责任、紧盯“一把手”和领导班子、紧盯群众反映强烈的问题，深入查找影响高质量发展的主要矛盾、落实改革部署中的重大偏差、全面从严治党方面的突出问题
845,把握巡视节奏，组织开展二十届中央第五轮、第六轮巡视，稳步推进一届任期内巡视全覆盖
846,优化巡视方式，科学统筹常规巡视、专项巡视、机动巡视和巡视“回头看”，灵活开展提级巡视
847,强化巡视巡察上下联动，对省区市巡视工作开展专项检查，建立健全中央单位内部巡视与纪检监察监督贯通协调机制，制定加强对村巡察工作的意见
848,　　巡视的本质是政治监督，必须以“两个维护”为根本指向深化政治巡视，善于从政治上发现问题，查找政治偏差，消除政治隐患，确保政治安全
849,　　（五）坚守政治巡视定位，着力推动巡视更加精准发现问题、有效解决问题　　系统性整治民生领域突出问题
850,紧盯集中整治发现的顽瘴痼疾，持续深化“校园餐”、农村集体“三资”管理、乡村振兴资金使用监管、医保基金管理、养老服务等方面突出问题治理，扎实推进整治殡葬领域腐败乱象专项行动，常态化机制化推进扫黑除恶“打伞破网”
851,深化运用群众点题机制，指导各地选择民生痛点难点因地制宜开展整治，让群众可感可及
852,　　持续发力惩治“蝇贪蚁腐”
853,紧盯党中央关于乡村全面振兴、惠民富民、防止规模性返贫致贫等方面政策措施落实情况，对反映群众身边腐败问题线索加强督办，对贪污侵占、截留挪用、虚报冒领、吃拿卡要等行为严惩不贷，坚决斩断伸向群众利益的“黑手”
854,　　进一步完善制度机制
855,总结运用集中整治经验做法，将齐抓共管的领导机制、纪委监委领导包联的工作机制、突出问题项目化整治的推进机制、部门协作配合的联动机制等经验做法固化为制度
856,优化具体工作方法，加大下沉指导、明察暗访、公开接访、带案下访等工作力度，及时发现、推动解决群众反映强烈的突出问题
857,对群众反映多、整治成效不明显的工作薄弱县，加强督促指导，强化支持保障，补齐短板弱项
858,　　群众身边不正之风和腐败问题整治不可能一蹴而就，必须始终高度重视、用心用情用力，聚焦县以下这一关键环节、薄弱环节，再狠抓两年，确保取得更大成效
859,　　（四）持续深化整治群众身边不正之风和腐败问题，着力推动改革发展成果更多更公平惠及全体人民　　以大数据信息化赋能正风反腐
860,聚焦“全要素覆盖、全流程贯通、全领域标准、全系统共享”的目标要求，全面推进纪检监察大数据资源中心建设、公权力大数据监督平台建设、纪检监察大数据办案中心建设、纪检监察一体化工作平台建设、纪检监察科技装备建设
861,提高监督穿透力，依靠大数据分析精准发现不正之风和腐败问题线索，加强预警纠治
862,提高办案效能，加强信息查询分析研判，运用大数据技术迅速有效突破案件
863,提高留置保障能力，探索开发智慧看护、智能监管等信息系统
864,严格使用权限管控，确保信息安全保密
865,　　以“查”、“治”贯通阻断风腐演变
866,加强规律研究，深刻把握由风及腐、从量变到质变的特点规律，把风腐同查同治理念要求贯穿案件查办、整改纠治、警示教育等各方面，形成办案、治理、监督、教育的有效闭环
867,加强类案分析，找出共性问题、深层次问题，用好纪检监察建议，推动深化改革、堵塞漏洞、规范权力运行
868,加强制度建设，制定关于推进不正之风和腐败问题同查同治的意见，推动风腐同查同治全流程规范、全链条衔接
869,
870,  春季是万物生发的季节，也是保健养生的黄金期
871,专家提醒，在预防“春病”的同时，要科学适度地进行体育锻炼，强健体魄，注重饮食的营养均衡，早睡早起，保持积极乐观的心态，为一整年的健康打下良好的基础
872,  春季常见的消化系统疾病包括细菌性食物中毒、细菌性痢疾、急性胃肠炎、消化不良等
873,何筱胤提醒，多种消化系统疾病都会出现呕吐、腹泻的症状，患者用药须谨慎，切勿在未查明病因的情况下盲目使用抗生素
874,  “一到‘回南天’，总有个别误食变质食物导致胃肠道不适的患者前来就医
875,”广西壮族自治区妇幼保健院儿童感染消化内科副主任何筱胤建议，春季应加强饮食、饮水卫生，食物充分加热，避免食用不新鲜或变质的食物，尽量少吃或不吃剩饭剩菜
876,若出现呕吐、腹泻等不适症状，应及时就医治疗
877,  ——“回南天”来袭，应提防消化系统疾病
878,墙上冒水珠、到处湿漉漉……近日，南方多地在回暖过程中出现了“回南天”
879,在湿度大、温暖的环境下，细菌和真菌可迅速繁殖，食物易变质腐烂
880,  “预防精神疾病，缓解心理不适，可以通过坚持规律作息、适度运动来实现
881,”占归来提醒，如果相关症状持续或加重，应尽早寻求专业帮助
882,
883,  受访民警提醒，广大群众在观看直播带货时，不要轻易被“卖惨”等噱头迷惑，遇到可疑的直播或者发现被骗，应及时向平台和公安机关举报，共同营造健康的网络直播环境
884,  “该团伙正是利用了消费者的‘扶贫心理’，从而实现‘情感绑架式’的销售
885,”李毅说，这种情感绑架使得公众的善意沦为流量变现工具，导致“狼来了”效应，久而久之那些真正需要帮助的人会难以获得关注
886,  相关短视频平台应提升技术手段，建立大数据模型进行风险预警，加强对“贫困”“助农”等关键词和内容的审核力度，对高频发布悲情剧情的账号进行重点排查，健全用户举报机制，与公安机关加强协作
887,同时，还应完善法律惩戒，引导公众提升辨识力，对相关内容保持警惕
888,  受访人士认为，剧本摆拍谣言的本质是“流量黑产”，其危害远超普通谣言，治理需多方联手，形成合力
889,
890,　　境克彦对傅华的到访表示欢迎
891,他表示，两社签订的新合作文件为双方友好关系打开新篇章，期待未来与新华社加强互学互鉴，共同建立长期稳定的合作关系
892,　　傅华指出，媒体是各国政治交往、经济合作、文化交流的重要桥梁
893,多年来，中日两国媒体记者用心用情记录了大量反映两国人民友好交往的感人故事和历史瞬间
894,时事社是新华社的重要合作伙伴，双方合作取得了丰硕成果
895,在新技术带来媒体行业变革的当下，新华社愿与时事社加强技术交流、不断拓展在经济信息等领域的合作，在世界媒体峰会框架下积极开展协调配合，共同致力于建立互惠务实的交流合作关系
896,
897,　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
898,让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
899,　　加强廉洁建设
900,纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
901,以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
902,以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
903,以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
904,　　加强作风建设
905,作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
906,发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
907,发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
908,弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
909,　　加强能力建设
910,纪检监察机关是党内监督和国家监察专责机关，在管党治党中承担着重要职责，必须敬畏责任、敬畏使命，高质量完成好党和人民交给的任务
911,着眼提高干部专业素养，开展涵盖业务全链条的纪法培训，加强履职通识培训，分层级分领域精准施训，扎实推进纪检监察学科建设，不断提升发现处置问题、开展思想政治工作、推进以案促改促治、研判处置涉纪涉腐舆情等能力
912,着眼提高监督执纪执法质量，教育引导干部牢固树立和践行正确政绩观，坚持实事求是，严格依规依纪依法，正确把握政策策略，准确定性量纪执法，毋枉毋纵，安全文明办案，实现政治效果、纪法效果、社会效果有机统一
913,实施加强组织建设三年行动计划，着眼优化干部选育管用机制，完善干部准入机制，加强监督执纪执法专业人才储备，完善拓展培养机制，优化干部梯队建设，稳妥有序推进干部轮岗交流，有计划安排干部到正风肃纪反腐一线磨砺，完善考核评价机制，激励干部担当作为
914,　　加强政治建设
915,纪检监察队伍因党而生、为党而战，忠诚于党是纪检监察铁军最根本的政治品格，必须敬畏信仰、敬畏组织，做一尘不染的忠诚卫士
916,要始终不渝用习近平新时代中国特色社会主义思想武装头脑，筑牢思想根基、学习科学方法、汲取真理力量，及时转化为敢为的行动、善为的能力、有为的效果；深刻领悟“两个确立”的决定性意义，坚决做到“两个维护”，及时甄别、坚决清除政治上的两面人，确保整支队伍对党绝对忠诚、政治上绝对可靠，任何时候任何情况下都同以习近平同志为核心的党中央保持高度一致；始终不渝心怀“国之大者”，自觉把工作置于党和国家大局中谋划推进，为实现新时代新征程党的使命任务作出更大贡献
917,　　面对党中央和习近平总书记交给的光荣使命、党和人民赋予的神圣权力，纪检监察机关必须始终保持敬畏之心，切实加强纪检监察工作规范化法治化正规化建设，以更高标准、更严要求，打造忠诚干净担当、敢于善于斗争的纪检监察铁军
918,　　（八）开展“纪检监察工作规范化法治化正规化建设年”行动，着力推动纪检监察铁军建设再上新台阶　　切实推动健全全面从严治党体系
919,督促各级党组织用系统思维、科学方法推进管党治党内容全涵盖、对象全覆盖、责任全链条、制度全贯通，进一步健全上下贯通、执行有力的组织体系，固本培元、凝心铸魂的教育体系，精准发力、标本兼治的监管体系，科学完备、有效管用的制度体系，主体明确、要求清晰的责任体系
920,　　切实履行纪委（纪检组）监督责任
921,做实专责监督，把更多时间和精力用到监督上，确保监督不缺位
922,聚焦主责主业，确保监督不泛化虚化
923,突出“监督的再监督”，督促各责任主体把责任扛起来，确保监督不越位
924,　　切实督促职能部门履行监管责任
925,坚持管行业管业务必须强监管，坚决纠治监管缺失缺位、管党治党乏力问题，防止以纪委监督代替部门监管
926,对监管责任落实不力的职能部门及相关责任人，依规依纪依法追究责任
927,　　切实督促党委（党组）履行主体责任
928,督促党委（党组）认真执行全面从严治党主体责任规定、加强对“一把手”和领导班子监督的意见，加强对本地区本单位本系统全面从严治党工作的领导，坚决纠正只抓业务不抓风纪、只管发展不治腐败等问题
929,督促“一把手”扛起第一责任人责任、领导班子其他成员履行“一岗双责”，直面问题、敢抓敢管，坚决防止事前当“老好人”、事后当“诸葛亮”
930,　　全面从严治党要巩固历史性成就、取得更大成效，必须坚持以“两个责任”抓纲带目，在党中央集中统一领导下，健全各负其责、统一协调的管党治党责任格局，不断巩固发展全党动手一起抓的良好局面
931,　　（七）强化全面从严治党政治责任，着力推动严的基调一贯到底　　推动完善党和国家监督体系
932,以党内监督为主导，推动党委（党组）履行全面监督职责，加强对各类监督主体的领导和统筹，确保党的领导和监督一贯到底
933,以专责监督为主干，制定纪检监察机关（机构）在监督检查审查调查工作中协作配合规定，优化“组组”协同监督、“室组”联动监督、“室组地”联合办案、“室组地校企巡”协调联动机制，明确具体职责，规范工作程序，优化审批流程，促进“四项监督”统筹衔接常态化制度化
934,以基层监督为支撑，持续优化基层纪检监察机构设置和力量配备，健全空编人员动态补充机制，提升基层纪检监察监督质效
935,以各类监督贯通协调为保障，深化拓展纪检监察监督与审计监督、财会监督、统计监督等协作配合机制
936,　　推进纪检监察机构改革
937,深化纪委监委机关内设机构改革，完善职能配置、机构设置、力量配备，优化监督检查和审查调查机构职能，提高监督执纪执法综合效能
938,深化派驻机构改革，完成向中管企业全面派驻纪检监察组
939,深化派驻监督向下延伸，制定监察“再派出”的指导意见，稳慎有序推动有关派驻机构向驻在单位的下一级单位、部属高校和国务院国资委管理领导班子的中央企业“再派出”，强化对“再派出”监察人员的管理监督
940,完善中央和国家机关部门机关纪委监督执纪工作机制
941,因地制宜深化县级派驻机构集中办公、片区协作等工作机制
942,规范省以下派驻机构考核工作，用好考核结果，发挥激励作用
943,　　加强纪检监察法规制度建设
944,推动完善党内法规制度体系，协助党中央制定规范诫勉工作的法规、制定党委（党组）对下级“一把手”开展监督谈话工作办法、修订《国有企业领导人员廉洁从业若干规定》
945,健全反腐败法律法规体系，配套修改监察法实施条例，起草反跨境腐败法，修订《关于加强和完善监察执法与刑事司法衔接机制的意见（试行）》
946,推进监督执纪执法规范化建设，修订《纪检监察机关处理主动投案问题的规定（试行）》，制定监察公开工作条例、审查调查安全工作规定，以及中央纪委国家监委派驻纪检监察组和中管企业、中管高校纪检监察机构监督检查审查调查措施使用管理办法
947,
948,　　同志们，新时代新征程全面从严治党站上新起点、开创新局面，纪检监察工作使命光荣、任重道远
949,让我们更加紧密地团结在以习近平同志为核心的党中央周围，凝心聚力、奋发进取，以永不懈怠的精神状态推进新时代新征程纪检监察工作高质量发展，为以中国式现代化全面推进强国建设、民族复兴伟业提供坚强保障
950,　　加强廉洁建设
951,纪检监察机关是执纪执法机关，必须敬畏纪律、敬畏法律，作自我革命的表率、遵规守纪的标杆
952,以严管强约束，加强日常管理监督，严明纪法要求，严守纪法红线，使纪检监察干部习惯在严之又严的氛围中工作生活
953,以严惩强震慑，刀刃向内、自剜腐肉、清除害群之马，纪检监察机关决不允许有腐败分子藏身之地，决不允许有违法犯罪“保护伞”藏身之地
954,以厚爱暖人心，做实关心关爱举措，加大评优奖先、典型宣传、职业保障、帮扶慰问等力度，管好用好利剑基金，增强纪检监察干部职业荣誉感、归属感
955,　　加强作风建设
956,作风优良是纪检监察机关履职尽责的重要保证，必须敬畏权力、敬畏人民，确保党和人民赋予的权力不被滥用
957,发扬斗争精神，在重大政治原则和大是大非问题上敢于交锋、勇于亮剑，在同歪风邪气和腐败现象作斗争时不信邪、不怕鬼、不怕压，为捍卫党和人民的利益斗争到底
958,发扬担当精神，以时不我待、只争朝夕的干劲，把各项工作想在前、做在前，持之以恒推进党风廉政建设和反腐败斗争
959,弘扬法治精神，强化法治意识、程序意识、证据意识，严格按照法定权限、规则、程序办事，确保每个案件经得起实践、人民、历史检验
960,　　加强能力建设
961,纪检监察机关是党内监督和国家监察专责机关，在管党治党中承担着重要职责，必须敬畏责任、敬畏使命，高质量完成好党和人民交给的任务
